Cultivated,Deciduous,Coniferous,Marshes,Peatbogs,Herbaceous,Water,Pixels,LocCode,River,Class,Built_up
0.038461538461538464,0.2692307692307692,0.4423076923076923,0.11538461538461539,0.1346153846153846,NA,NA,52,GO_1,GO,100,NA
NA,0.5128205128205128,0.48717948717948717,NA,NA,NA,NA,39,GO_10,GO,100,NA
NA,0.9574468085106383,NA,0.0425531914893617,NA,NA,NA,47,GO_11,GO,100,NA
NA,1,NA,NA,NA,NA,NA,59,GO_12,GO,100,NA
NA,1,NA,NA,NA,NA,NA,80,GO_13,GO,100,NA
NA,0.375,NA,0.19444444444444445,0.4305555555555556,NA,NA,72,GO_14,GO,100,NA
NA,0.7021276595744681,0.2978723404255319,NA,NA,NA,NA,47,GO_15,GO,100,NA
NA,1,NA,NA,NA,NA,NA,41,GO_16,GO,100,NA
NA,1,NA,NA,NA,NA,NA,58,GO_17,GO,100,NA
NA,0.9538461538461539,0.046153846153846156,NA,NA,NA,NA,65,GO_18,GO,100,NA
NA,1,NA,NA,NA,NA,NA,92,GO_19,GO,100,NA
NA,1,NA,NA,NA,NA,NA,67,GO_2,GO,100,NA
NA,0.40425531914893614,NA,0.2765957446808511,0.3191489361702128,NA,NA,47,GO_20,GO,100,NA
NA,0.8163265306122449,0.14285714285714285,0.04081632653061224,NA,NA,NA,49,GO_21,GO,100,NA
0.010416666666666666,0.3333333333333333,NA,0.40625,0.23958333333333334,0.010416666666666666,NA,96,GO_22,GO,100,NA
NA,0.8648648648648649,NA,0.13513513513513514,NA,NA,NA,37,GO_23,GO,100,NA
NA,0.9090909090909091,0.09090909090909091,NA,NA,NA,NA,44,GO_24,GO,100,NA
0.25,0.013157894736842105,0.14473684210526316,0.13157894736842105,0.4605263157894737,NA,NA,76,GO_25,GO,100,NA
NA,NA,1,NA,NA,NA,NA,22,GO_26,GO,100,NA
NA,0.9009009009009009,0.08108108108108109,0.018018018018018018,NA,NA,NA,111,GO_27,GO,100,NA
NA,0.23728813559322035,0.7457627118644068,0.01694915254237288,NA,NA,NA,59,GO_28,GO,100,NA
NA,0.7,NA,0.3,NA,NA,NA,60,GO_29,GO,100,NA
NA,1,NA,NA,NA,NA,NA,96,GO_3,GO,100,NA
NA,0.8676470588235294,0.11764705882352941,NA,0.014705882352941176,NA,NA,68,GO_30,GO,100,NA
NA,0.208955223880597,0.6567164179104478,0.014925373134328358,0.11940298507462686,NA,NA,67,GO_31,GO,100,NA
NA,NA,0.9855072463768116,NA,0.014492753623188406,NA,NA,69,GO_32,GO,100,NA
NA,0.04395604395604396,0.2857142857142857,0.15384615384615385,0.5164835164835165,NA,NA,91,GO_33,GO,100,NA
0.03409090909090909,0.19318181818181818,0.5681818181818182,0.07954545454545454,0.125,NA,NA,88,GO_34,GO,100,NA
NA,NA,NA,0.15463917525773196,0.845360824742268,NA,NA,97,GO_35,GO,100,NA
NA,0.7083333333333334,0.2916666666666667,NA,NA,NA,NA,72,GO_36,GO,100,NA
NA,0.20238095238095238,0.6904761904761905,0.023809523809523808,0.08333333333333333,NA,NA,84,GO_37,GO,100,NA
NA,0.14772727272727273,0.5454545454545454,0.125,0.125,0.056818181818181816,NA,88,GO_38,GO,100,NA
NA,NA,1,NA,NA,NA,NA,85,GO_39,GO,100,NA
NA,0.06315789473684211,NA,0.5473684210526316,0.37894736842105264,NA,0.010526315789473684,95,GO_4,GO,100,NA
NA,0.128,0.496,0.08,0.296,NA,NA,125,GO_40,GO,100,NA
NA,0.05714285714285714,0.9428571428571428,NA,NA,NA,NA,70,GO_41,GO,100,NA
NA,NA,1,NA,NA,NA,NA,88,GO_42,GO,100,NA
NA,0.022222222222222223,0.5111111111111111,0.3111111111111111,0.15555555555555556,NA,NA,45,GO_43,GO,100,NA
NA,0.27884615384615385,0.4807692307692308,0.1346153846153846,0.09615384615384616,0.009615384615384616,NA,104,GO_44,GO,100,NA
NA,0.3142857142857143,0.37142857142857144,0.08571428571428572,0.22857142857142856,NA,NA,35,GO_45,GO,100,NA
NA,NA,1,NA,NA,NA,NA,97,GO_46,GO,100,NA
0.03225806451612903,0.13978494623655913,0.6881720430107527,NA,0.13978494623655913,NA,NA,93,GO_47,GO,100,NA
NA,0.08256880733944955,0.41284403669724773,0.12844036697247707,0.3577981651376147,NA,0.01834862385321101,109,GO_48,GO,100,NA
NA,0.8125,NA,0.015625,0.171875,NA,NA,64,GO_5,GO,100,NA
NA,1,NA,NA,NA,NA,NA,18,GO_6,GO,100,NA
NA,0.9310344827586207,0.06896551724137931,NA,NA,NA,NA,29,GO_7,GO,100,NA
NA,0.7941176470588235,NA,0.20588235294117646,NA,NA,NA,34,GO_8,GO,100,NA
0.07079646017699115,0.7522123893805309,0.08849557522123894,0.061946902654867256,0.017699115044247787,0.008849557522123894,NA,113,GO_9,GO,100,NA
0.0059382422802850355,0.08907363420427554,0.28859857482185275,0.15558194774346792,0.4584323040380047,NA,0.0023752969121140144,842,GO_1,GO,500,NA
NA,0.9544364508393285,0.045563549160671464,NA,NA,NA,NA,417,GO_10,GO,500,NA
NA,0.725925925925926,0.03950617283950617,0.022222222222222223,0.20493827160493827,0.007407407407407408,NA,810,GO_11,GO,500,NA
9.363295880149813e-4,0.9054307116104869,0.06367041198501873,0.0018726591760299626,0.028089887640449437,NA,NA,1068,GO_12,GO,500,NA
NA,0.9377901578458682,0.02414113277623027,0.019498607242339833,0.017641597028783658,NA,9.285051067780873e-4,1077,GO_13,GO,500,NA
0.0010660980810234541,0.7974413646055437,0.13646055437100213,0.019189765458422176,0.04584221748400853,NA,NA,938,GO_14,GO,500,NA
NA,0.918918918918919,0.042042042042042045,0.025525525525525526,0.010510510510510511,0.0015015015015015015,0.0015015015015015015,666,GO_15,GO,500,NA
NA,0.979746835443038,0.020253164556962026,NA,NA,NA,NA,395,GO_16,GO,500,NA
0.0033500837520938024,0.6348408710217756,0.18090452261306533,0.07202680067001675,0.09380234505862646,0.01507537688442211,NA,597,GO_17,GO,500,NA
0.001784121320249777,0.8376449598572703,0.12221231043710973,0.030330062444246207,0.003568242640499554,0.0044603033006244425,NA,1121,GO_18,GO,500,NA
NA,0.9691085613415711,0.02030008826125331,0.00617828773168579,0.00441306266548985,NA,NA,1133,GO_19,GO,500,NA
NA,0.8398692810457516,NA,0.0392156862745098,0.06209150326797386,0.05555555555555555,0.0032679738562091504,306,GO_2,GO,500,NA
NA,0.7717546362339515,0.1355206847360913,0.034236804564907276,0.05848787446504993,NA,NA,701,GO_20,GO,500,NA
NA,0.89375,0.040625,0.015625,0.0375,0.0125,NA,320,GO_21,GO,500,NA
0.007332722273143905,0.6232813932172319,0.08707607699358387,0.14940421631530706,0.12098991750687443,0.011915673693858845,NA,1091,GO_22,GO,500,NA
9.727626459143969e-4,0.8258754863813229,0.07587548638132295,0.03696498054474708,0.05642023346303502,0.0029182879377431907,9.727626459143969e-4,1028,GO_23,GO,500,NA
NA,0.7464788732394366,0.2535211267605634,NA,NA,NA,NA,71,GO_24,GO,500,NA
0.031818181818181815,0.029545454545454545,0.8560606060606061,0.015151515151515152,0.06742424242424243,NA,NA,1320,GO_25,GO,500,NA
NA,0.36082474226804123,0.44673539518900346,0.054982817869415807,0.13745704467353953,NA,NA,582,GO_26,GO,500,NA
NA,0.8136531365313653,0.17988929889298894,0.005535055350553505,9.225092250922509e-4,NA,NA,1084,GO_27,GO,500,NA
NA,0.3101529902642559,0.5104311543810849,0.04172461752433936,0.1376912378303199,NA,NA,719,GO_28,GO,500,NA
0.018072289156626505,0.7891566265060241,0.012048192771084338,0.18072289156626506,NA,NA,NA,166,GO_29,GO,500,NA
NA,0.8411458333333334,0.13671875,0.010416666666666666,0.01171875,NA,NA,768,GO_3,GO,500,NA
NA,0.9143518518518519,0.08101851851851852,0.0023148148148148147,0.0023148148148148147,NA,NA,432,GO_30,GO,500,NA
NA,0.41228070175438597,0.4137426900584795,0.02046783625730994,0.15350877192982457,NA,NA,684,GO_31,GO,500,NA
0.0019801980198019802,0.6742574257425743,0.21386138613861386,0.034653465346534656,0.06633663366336634,0.00891089108910891,NA,1010,GO_32,GO,500,NA
0.0019704433497536944,0.3054187192118227,0.3645320197044335,0.06206896551724138,0.2660098522167488,NA,NA,1015,GO_33,GO,500,NA
0.014503532911863145,0.10896243956861287,0.81889178133135,0.008925251022685012,0.04537002603198215,0.00334696913350688,NA,2689,GO_34,GO,500,NA
0.00936768149882904,0.6557377049180327,0.14402810304449648,0.03044496487119438,0.16042154566744732,NA,NA,854,GO_35,GO,500,NA
0.002430133657351154,0.6658566221142163,0.3219927095990279,0.004860267314702308,0.004860267314702308,NA,NA,823,GO_36,GO,500,NA
0.002638522427440633,0.23746701846965698,0.4916446789797713,0.08003518029903255,0.13896218117854,0.04925241864555849,NA,1137,GO_37,GO,500,NA
0.008532423208191127,0.10295790671217292,0.4448236632536974,0.04436860068259386,0.3924914675767918,0.0034129692832764505,0.0034129692832764505,1758,GO_38,GO,500,NA
0.005047672462142457,0.1256309590577678,0.44083006169377453,0.07515423443634324,0.34436343241727424,0.006730229949523275,0.002243409983174425,1783,GO_39,GO,500,NA
6.752194463200541e-4,0.4267386900742741,0.09115462525320729,0.20054017555705606,0.26806212018906145,0.011478730587440918,0.0013504388926401081,1481,GO_4,GO,500,NA
0.009296148738379814,0.15626383355467022,0.4081451969898185,0.07923860115095174,0.3461708720672864,8.853474988933156e-4,NA,2259,GO_40,GO,500,NA
0.02457002457002457,0.09950859950859951,0.7542997542997543,0.01597051597051597,0.10565110565110565,NA,NA,814,GO_41,GO,500,NA
0.0024067388688327317,0.09025270758122744,0.48074608904933813,0.05535499398315283,0.36522262334536704,0.0048134777376654635,0.0012033694344163659,1662,GO_42,GO,500,NA
0.013550135501355014,0.4010840108401084,0.15718157181571815,0.35501355013550134,0.06504065040650407,0.005420054200542005,0.0027100271002710027,369,GO_43,GO,500,NA
0.003178639542275906,0.25047679593134137,0.5956770502225047,0.03560076287349015,0.10870947234583599,0.003814367450731087,0.0025429116338207248,1573,GO_44,GO,500,NA
NA,0.3142857142857143,0.37142857142857144,0.08571428571428572,0.22857142857142856,NA,NA,35,GO_45,GO,500,NA
0.0012360939431396785,0.030902348578491966,0.7527812113720643,0.023485784919653894,0.18294190358467244,0.00865265760197775,NA,809,GO_46,GO,500,NA
0.08537946428571429,0.09709821428571429,0.5569196428571429,0.04575892857142857,0.2109375,0.00390625,NA,1792,GO_47,GO,500,NA
0.025060911938739994,0.15280194918203968,0.6185172293769579,0.04211625478593804,0.14688478941872607,0.012182387747998607,0.0024364775495997215,2873,GO_48,GO,500,NA
NA,0.7705314009661836,0.11956521739130435,0.027777777777777776,0.06521739130434782,NA,0.016908212560386472,828,GO_5,GO,500,NA
NA,0.6677852348993288,0.2651006711409396,0.010067114093959731,0.053691275167785234,NA,0.003355704697986577,298,GO_6,GO,500,NA
NA,0.29455081001472755,0.10751104565537556,0.10014727540500737,0.4948453608247423,0.0029455081001472753,NA,679,GO_7,GO,500,NA
0.0020964360587002098,0.9140461215932913,0.03773584905660377,0.04612159329140461,NA,NA,NA,477,GO_8,GO,500,NA
0.005096040768326146,0.537828302626421,0.09800078400627205,0.14033712269698156,0.20736965895727166,0.007840062720501764,0.0035280282242257936,2551,GO_9,GO,500,NA
0.0025549310168625446,0.03934593765968319,0.14971895758814513,0.2585590189064895,0.5487991824220746,NA,0.001021972406745018,1957,GO_1,GO,Stream,NA
6.765899864682003e-4,0.6258457374830853,0.07442489851150202,0.06765899864682003,0.2313937753721245,NA,NA,1478,GO_10,GO,Stream,NA
NA,0.8156996587030717,0.03890784982935153,0.015699658703071672,0.12559726962457338,0.004095563139931741,NA,1465,GO_11,GO,Stream,NA
0.0025329280648429585,0.6646403242147924,0.11702127659574468,0.0975177304964539,0.11752786220871327,5.065856129685917e-4,2.5329280648429586e-4,3948,GO_12,GO,Stream,NA
NA,0.8369318181818182,0.05568181818181818,0.03238636363636364,0.07329545454545454,NA,0.0017045454545454545,1760,GO_13,GO,Stream,NA
0.0017743080198722497,0.8325053229240597,0.06529453513129879,0.014904187366926898,0.08268275372604685,0.0028388928317956,NA,2818,GO_14,GO,Stream,NA
0.0024984052732298532,0.4535402934297257,0.1006804167552626,0.1481501169466298,0.2535615564533277,0.016425685732511162,0.025143525409313205,18812,GO_15,GO,Stream,NA
NA,0.9038919777601271,0.07466243050039714,0.007942811755361398,0.012708498808578236,NA,7.942811755361397e-4,1259,GO_16,GO,Stream,NA
0.0026702269692923898,0.5941255006675568,0.15353805073431243,0.07476635514018691,0.1268357810413885,0.04672897196261682,0.0013351134846461949,749,GO_17,GO,Stream,NA
