LocCode,River,Class,LC_meadow,LC_mire,LC_grassland
GO_1,GO,100,0,0,0
GO_10,GO,100,0,0,0
GO_11,GO,100,0,0,0
GO_12,GO,100,0,0,0
GO_13,GO,100,0,0,0
GO_14,GO,100,0,0,0
GO_15,GO,100,0,0,0
GO_16,GO,100,0,0,0
GO_17,GO,100,0,0,0
GO_18,GO,100,0,0,0
GO_19,GO,100,0,0,0
GO_2,GO,100,0,0,0
GO_20,GO,100,0,0,0
GO_21,GO,100,0,0,0
GO_22,GO,100,0.10308584690490397,0,0.10308584690490397
GO_23,GO,100,0,0,0
GO_24,GO,100,0,0,0
GO_25,GO,100,0,0,0
GO_26,GO,100,0,0,0
GO_27,GO,100,0,0,0
GO_28,GO,100,0,0,0
GO_29,GO,100,0,0,0
GO_3,GO,100,0,0,0
GO_30,GO,100,0,0,0
GO_31,GO,100,0,0,0
GO_32,GO,100,0,0,0
GO_33,GO,100,0,0,0
GO_34,GO,100,0,0,0
GO_35,GO,100,0,0,0
GO_36,GO,100,0,0,0
GO_37,GO,100,0.06389741540856636,0,0.06389741540856636
GO_38,GO,100,0.2553427725569335,0,0.2553427725569335
GO_39,GO,100,0,0,0
GO_4,GO,100,0,0,0
GO_40,GO,100,0.01876680496189055,0,0.01876680496189055
GO_41,GO,100,0,0,0
GO_42,GO,100,0,0,0
GO_43,GO,100,0,0,0
GO_44,GO,100,0.1826553205912249,0,0.1826553205912249
GO_45,GO,100,0,0,0
GO_46,GO,100,0,0,0
GO_47,GO,100,0,0,0
GO_48,GO,100,0,0,0
GO_5,GO,100,0,0,0
GO_6,GO,100,0,0,0
GO_7,GO,100,0,0,0
GO_8,GO,100,0,0,0
GO_9,GO,100,0.05703107424476203,0,0.05703107424476203
GO_1,GO,500,0.003192916725903446,0,0.003192916725903446
GO_10,GO,500,0,0,0
GO_11,GO,500,0,0,0
GO_12,GO,500,0,0,0
GO_13,GO,500,0,0,0
GO_14,GO,500,0,0,0
GO_15,GO,500,0,0,0
GO_16,GO,500,0,0,0
GO_17,GO,500,0,0,0
GO_18,GO,500,0,0,0
GO_19,GO,500,0,0,0
GO_2,GO,500,0,0,0
GO_20,GO,500,0,0,0
GO_21,GO,500,0,0,0
GO_22,GO,500,0.015873747831242655,0,0.015873747831242655
GO_23,GO,500,0,0,0
GO_24,GO,500,0,0,0
GO_25,GO,500,0,0,0
GO_26,GO,500,0,0,0
GO_27,GO,500,0,0,0
GO_28,GO,500,0,0,0
GO_29,GO,500,0.055566091063466036,0,0.055566091063466036
GO_3,GO,500,0,0,0
GO_30,GO,500,0,0,0
GO_31,GO,500,0,0,0
GO_32,GO,500,0,0,0
GO_33,GO,500,0,0,0
GO_34,GO,500,0,0,0
GO_35,GO,500,0,0,0
GO_36,GO,500,0,0,0
GO_37,GO,500,0.058299845224497715,0,0.058299845224497715
GO_38,GO,500,0.012813370267781898,0,0.012813370267781898
GO_39,GO,500,0.04820342719644724,3.2222718582425037e-4,0.048525654382271494
GO_4,GO,500,0,0,0
GO_40,GO,500,0.0056699800486401195,0,0.0056699800486401195
GO_41,GO,500,0,0,0
GO_42,GO,500,0.011802702489244187,0,0.011802702489244187
GO_43,GO,500,0,0,0
GO_44,GO,500,0.012811240631700277,0,0.012811240631700277
GO_45,GO,500,0,0,0
GO_46,GO,500,0,0,0
GO_47,GO,500,0,0,0
GO_48,GO,500,0,0,0
GO_5,GO,500,0,0,0
GO_6,GO,500,0,0,0
GO_7,GO,500,0.020364082039215213,0.06244515692520515,0.08280923896442036
GO_8,GO,500,0,0,0
GO_9,GO,500,0.007779118354738057,0,0.007779118354738057
GO_1,GO,Catch,0.002697685856484517,0.010467737063384145,0.013165422919868662
GO_10,GO,Catch,0,0,0
GO_11,GO,Catch,0,0,0
GO_12,GO,Catch,0.0013228356228301397,0.005235187218090309,0.006558022840920449
GO_13,GO,Catch,0,0,0
GO_14,GO,Catch,0,0,0
GO_15,GO,Catch,0.00621290230659991,0.0030133736263123273,0.009226275932912236
GO_16,GO,Catch,0,0,0
GO_17,GO,Catch,0,0,0
GO_18,GO,Catch,0.001236680750346123,0.002503469052689889,0.0037401498030360117
GO_19,GO,Catch,0,0,0
GO_2,GO,Catch,0,0,0
GO_20,GO,Catch,0,0.0063402440950676145,0.0063402440950676145
GO_21,GO,Catch,0,0,0
GO_22,GO,Catch,0.005310783658358432,0,0.005310783658358432
GO_23,GO,Catch,0,0,0
GO_24,GO,Catch,0,0,0
GO_25,GO,Catch,0,0,0
GO_26,GO,Catch,0,0,0
GO_27,GO,Catch,0.0011108442285732807,0.002237507407684347,0.0033483516362576276
GO_28,GO,Catch,0.004249393838684975,0.0019467180776402088,0.006196111916325184
GO_29,GO,Catch,0.037058186671555915,0,0.037058186671555915
GO_3,GO,Catch,0,0.01721038546836063,0.01721038546836063
GO_30,GO,Catch,0.00290338026382718,0.002220617878491606,0.005123998142318786
GO_31,GO,Catch,0,0,0
GO_32,GO,Catch,7.321261257368947e-4,0,7.321261257368947e-4
GO_33,GO,Catch,0,0,0
GO_34,GO,Catch,7.033908996287169e-4,0,7.033908996287169e-4
GO_35,GO,Catch,0,0,0
GO_36,GO,Catch,0.002948204320705428,0,0.002948204320705428
GO_37,GO,Catch,0.010537262635118807,0,0.010537262635118807
GO_38,GO,Catch,0.004793202305328583,0,0.004793202305328583
GO_39,GO,Catch,0.01564258141909909,6.0871629019846295e-5,0.01570345304811894
GO_4,GO,Catch,0.0016525060817067791,0.004212506691372715,0.005865012773079494
GO_40,GO,Catch,0.0012883895027178847,0.0011499977450641385,0.0024383872477820234
GO_41,GO,Catch,0.001268541107945317,0.0015096567141283722,0.002778197822073689
GO_42,GO,Catch,0.007819874007706543,0.0013693754110844837,0.009189249418791026
GO_43,GO,Catch,0,0,0
GO_44,GO,Catch,0.004964853731234934,0.001552312424609525,0.0065171661558444584
GO_45,GO,Catch,0,0,0
GO_46,GO,Catch,0,0,0
GO_47,GO,Catch,0.004357850741013434,0,0.004357850741013434
GO_48,GO,Catch,0.004774236998117652,0.0012994463599037608,0.006073683358021413
GO_5,GO,Catch,0.01245066896735533,0,0.01245066896735533
GO_6,GO,Catch,0.004351553899879169,0.012818372411946673,0.01716992631182584
GO_7,GO,Catch,0.010524830490709429,0.006556746906697427,0.017081577397406855
GO_8,GO,Catch,0.011792788415017545,0,0.011792788415017545
GO_9,GO,Catch,0.0067694356296348155,0.0035247933367315337,0.010294228966366349
GO_1,GO,Stream,0.001373806704190666,0.02408076142218183,0.025454568126372496
GO_10,GO,Stream,0,0,0
GO_11,GO,Stream,0,0,0
GO_12,GO,Stream,0.003224997780368972,4.1852394610664075e-4,0.0036435217264756126
GO_13,GO,Stream,0,0,0
GO_14,GO,Stream,0,0,0
GO_15,GO,Stream,0.002651108960450698,0.0055431735240734255,0.008194282484524123
GO_16,GO,Stream,0,0,0
GO_17,GO,Stream,0,0,0
GO_18,GO,Stream,0.001309872947532823,1.6998870456185332e-4,0.0014798616520946763
GO_19,GO,Stream,0,0,0
GO_2,GO,Stream,0,0,0
GO_20,GO,Stream,0,0,0
GO_21,GO,Stream,0,0,0
GO_22,GO,Stream,0.00693910136073099,0,0.00693910136073099
GO_23,GO,Stream,0,0,0
GO_24,GO,Stream,0,0,0
GO_25,GO,Stream,0,0,0
GO_26,GO,Stream,0,0,0
GO_27,GO,Stream,0.0011326497794877657,1.4698957566842145e-4,0.0012796393551561872
GO_28,GO,Stream,0.001642591184141577,0.0034344751945850228,0.0050770663787266
GO_29,GO,Stream,0.05556607851929325,0,0.05556607851929325
GO_3,GO,Stream,0,0,0
GO_30,GO,Stream,0.003482199444780209,6.911396691907971e-4,0.004173339113971006
GO_31,GO,Stream,0,0,0
