LocCode,vy_100,vy_500,vy_catch,vy_stream
GO_1,5355.38540187106,83902.0888463391,538313.634208716,195000.27001168
GO_10,3880.57779346406,41801.4995048046,244246.125629949,147770.2488779
GO_11,4670.45572062954,80860.4182953015,275715.870190129,146138.841069579
GO_12,5878.08675783873,106957.436414547,962557.920043172,394823.808382502
GO_13,7942.52443067729,107849.09133959,404431.53124398,175915.776538794
GO_14,7091.10442440212,93609.3256071452,504849.518641755,282045.604789809
GO_15,4676.58588573337,67145.2326098606,3782392.0965929,1886751.32425593
GO_16,4178.16661863867,39691.7885732353,229593.837226629,126077.65486007
GO_17,5724.27380365133,59795.8403987158,153300.874963909,75364.0922243185
GO_18,6438.5094917044,111712.299799694,2012875.25973896,972083.520061007
GO_19,9431.48766688956,112238.738999233,238424.025550015,186532.018974571
GO_2,6711.9964829369,30957.5726925135,37805.9245592505,30957.5792469322
GO_20,4686.60034544021,71052.7195100635,843915.397981077,567507.613427057
GO_21,4900.03781652823,32298.9227583685,51042.4253182763,42983.4800274139
GO_22,9524.50031873584,109257.013216529,326565.416360795,249934.13216423
GO_23,3684.3855876103,102788.159231842,457555.839342937,200473.699681848
GO_24,4491.93787900358,7122.93527107686,8923.60204000026,7122.93347480148
GO_25,7509.40491610742,131968.885521973,409748.288621756,182841.895565268
GO_26,2335.72333731502,58888.4794642851,244210.232374057,148046.11976549
GO_27,11075.2414825857,108543.861000594,2252135.97165105,1124183.24598645
GO_28,5877.93929780833,71785.8773231553,5854859.37545794,3045178.49003991
GO_29,6291.00128515344,16651.4574193899,38014.5426465571,16651.461178638
GO_3,9796.68932634033,77245.4702061955,188238.4843188,82057.6805238407
GO_30,6630.27398200147,42550.3728149459,597344.515357345,498052.539521726
GO_31,6557.94262914173,68702.5196464993,122902.49473419,80719.154814411
GO_32,6937.29441436194,101312.70950528,1121654.72081393,817888.589749497
GO_33,9171.9294542633,101883.834487449,579012.026012626,429209.191897362
GO_34,8865.51997989789,269983.802858858,3538714.71204395,2217824.83090432
GO_35,9593.81952903792,85996.243485976,132546.431166247,91170.4317614306
GO_36,7531.25797183253,82253.8429271737,265944.427708834,140910.914143931
GO_37,8528.43307398586,113749.211282494,932598.63614947,422430.14090238
GO_38,8858.22465828294,176525.269846945,1517630.36763939,805693.985595635
GO_39,8521.05214122334,178903.429340627,2861037.66976333,1449089.9038793
GO_4,9594.78586316109,148155.431621335,1337665.66877437,593070.544370245
GO_40,12222.7131315582,225761.838550204,5806188.36677387,3805379.05447728
GO_41,6927.60948798619,81951.2618961269,3337958.14142493,1904866.52366271
GO_42,8649.4872443378,166409.860468118,9564957.61848984,5129607.83978242
GO_43,4500.80325006135,36911.9241559627,81270.5097315758,36911.9356583299
GO_44,10387.7668293917,158026.823250512,19242052.9658162,11126360.1784915
GO_45,3514.47051786631,3514.47051794454,9353.06563518569,3514.46990277618
GO_46,9808.94562167674,80071.8210682767,580843.414642572,269611.19726143
GO_47,9712.35005018729,179802.698927086,954152.073773574,557544.129311761
GO_48,10733.3683905751,287556.081186258,22986464.7091532,13084638.2042271
GO_5,6665.53413965739,83149.1096666672,785714.270591535,434613.414285515
GO_6,1847.90624558926,30534.9565310478,292609.475825578,99644.7232104805
GO_7,3062.96144916117,68291.4940602742,878916.799705531,382189.454970513
GO_8,3326.83382758126,48085.9066768903,101178.099587891,56377.3255761098
GO_9,11236.5043737888,255725.261220193,3233596.83799622,1572361.45624656
