vy_100,vy_500,vy_catch,vy_stream,area.y.y
V_1,10886.9151794203,64090.5171130188,506292.995099604,94156.2323980816
V_10,10431.494238656,126248.44793354,4128221.20143776,782489.320650155
V_11,8958.10598276113,73244.3181692827,12269506.8951631,2303489.74176824
V_12,8527.8640325889,58260.9696783796,805558.459055394,204565.035396598
V_13,8780.89444488799,79711.7526219785,1934658.56196484,376777.440678641
V_14,11929.8130040066,129706.420348597,1639595.46949908,253339.317895666
V_15,7438.70016914606,82025.1245571077,5680240.50602508,1180817.79157524
V_16,10193.5772007704,135056.068600891,2754000.01228514,843733.114530803
V_17,10069.5766605884,97444.5870776922,2102817.96254697,601093.833120735
V_18,5949.95797651535,75816.529400001,1221122.04445088,286493.761137079
V_19,8739.64166884311,55870.6340629682,799429.379810169,89142.3165707514
V_2,8427.26510927081,79423.3641637811,2081027.28047079,305328.236399719
V_20,11853.8444779297,141950.956634489,4174427.60638529,1133810.40486883
V_21,7821.75020483881,67259.7761594132,1063519.33117759,258868.153271802
V_22,8400.97420150042,75831.319185175,298432.122706622,124146.330786019
V_23,9118.17701274529,92421.7595492983,2206269.38284677,297531.950546837
V_24,9539.86092000827,70747.7321084701,3347955.22060695,708875.884241634
V_25,8194.27329571088,50090.6985099882,2209965.20478362,150288.140914258
V_26,7555.30748344958,60617.3234624616,734824.964774922,175869.036813407
V_27,9661.55536890891,93857.9629103994,1051823.04020473,314492.368265514
V_28,10392.5610578619,107257.709342645,7106319.81820277,1488008.19965646
V_29,8089.34025120735,52361.3892709911,5408237.31316929,1133542.35682399
V_3,9807.79034320816,135804.117142023,1981686.26443753,386620.081071598
V_30,9366.91560089588,145611.289128799,5424436.55470535,1247965.37889258
V_31,7977.0755035989,55590.6633216008,4139693.05543271,1128000.80645177
V_32,7810.07677949499,78048.137901247,3887621.44264209,664115.241556541
V_33,8949.93934720755,106950.929055896,949176.776097365,250110.778821262
V_34,10232.4129854608,65244.9977902696,21941797.0980276,4720125.15930409
V_35,8584.00933139771,117609.010679463,2585722.83334617,727657.201339346
V_36,10940.3568704,87917.2021657685,449245.472144283,164650.057861583
V_37,7453.08493773546,49327.8809750262,4084238.60661517,1383842.52181676
V_38,7129.81297241151,85349.1403883696,2129967.93095422,325802.067585588
V_39,6925.19603173202,46241.6695622968,1359057.82437578,439943.531682907
V_4,9457.96152833477,66320.1347520016,970231.237184465,174104.949911959
V_40,8058.18811671995,69375.7505995147,32418416.3910285,6739993.46763721
V_41,10137.1827442348,166977.015029357,41861118.4019556,9869571.87448801
V_42,11296.9972681585,63357.8860995062,47184529.9985053,10751387.596451
V_43,10760.1766847796,95883.5312513849,91884173.8544366,19756749.2933535
V_5,12846.3306676447,148042.552863814,707079.875662148,240268.182728709
V_6,9474.59388229251,86973.478071101,1166485.1532231,214758.941093609
V_7,9154.41592673957,135648.703964785,3598672.56743749,694907.363645203
V_8,10614.4757656571,96752.6180212614,1243335.07618427,338312.779786404
V_9,6061.29697978497,103184.75604447,894089.258908264,302814.948067369
